,animeID,name,title_english,type,source,genre,episodes,score,scored_by,rating,male_fan,female_fan,fan_base
0,1.0,Cowboy Bebop,Cowboy Bebop,TV,Original,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26.0,8.81,405664.0,8.809993774368236,2922.0,597.0,2325.0
1,5.0,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,Movie,Original,"Action, Drama, Mystery, Sci-Fi, Space",1.0,8.41,120243.0,8.409982323268437,36.0,11.0,25.0
2,6.0,Trigun,Trigun,TV,Manga,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",26.0,8.3,212537.0,8.299990516891521,609.0,179.0,430.0
3,7.0,Witch Hunter Robin,Witch Hunter Robin,TV,Original,"Action, Magic, Police, Supernatural, Drama, Mystery",26.0,7.33,32837.0,7.329968161248858,18.0,24.0,-6.0
4,8.0,Bouken Ou Beet,Beet the Vandel Buster,TV,Manga,"Adventure, Fantasy, Shounen, Supernatural",52.0,7.03,4894.0,7.029847697464757,0.0,0.0,0.0
5,16.0,Hachimitsu to Clover,Honey and Clover,TV,Manga,"Comedy, Drama, Josei, Romance, Slice of Life",24.0,8.12,57065.0,8.119967835122313,283.0,140.0,143.0
6,17.0,Hungry Heart: Wild Striker,,TV,Manga,"Slice of Life, Comedy, Sports, Shounen",52.0,7.67,9307.0,7.669851147302319,6.0,3.0,3.0
7,18.0,Initial D Fourth Stage,,TV,Manga,"Action, Cars, Sports, Drama, Seinen",24.0,8.23,42555.0,8.22995428327592,35.0,1.0,34.0
8,19.0,Monster,Monster,TV,Manga,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",74.0,8.69,131233.0,8.689981669987121,1586.0,402.0,1184.0
9,20.0,Naruto,Naruto,TV,Manga,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",220.0,7.9,716412.0,7.899997744986607,734.0,479.0,255.0
10,21.0,One Piece,One Piece,TV,Manga,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24.0,8.53,465454.0,8.52999517564338,2292.0,811.0,1481.0
11,22.0,Tennis no Ouji-sama,The Prince of Tennis,TV,Manga,"Action, Comedy, Sports, School, Shounen",178.0,8.0,50306.0,7.999965898962172,62.0,144.0,-82.0
12,23.0,Ring ni Kakero 1,,TV,Manga,"Action, Shounen, Sports",12.0,6.54,825.0,6.539690652651318,0.0,0.0,0.0
