,anime_id,male_fan,female_fan
0,1,2922,597
1,100,1,27
2,1000,23,6
3,10012,67,12
4,10015,2,4
5,1002,50,5
6,10020,6,2
7,10029,13,6
8,10030,65,10
9,10033,24,14
10,1004,1,1
11,10049,18,18
12,10073,3,1
13,10079,3,4
14,10080,55,6
15,10083,5,8
16,10087,1301,258
17,10092,3,2
18,101,93,101
19,10110,40,4
20,1013,14,17
21,10152,2,2
22,10153,19,2
23,1016,16,3
24,10161,33,217
25,10162,400,73
26,10163,43,1
27,10165,806,214
28,1017,9,7
29,10178,1,2
30,10187,11,3
31,1019,3,2
32,102,24,14
33,1020,1,1
34,1021,2,7
35,10216,9,2
36,10218,16,4
37,1023,8,24
38,10257,1,2
39,10259,10,2
40,10271,75,6
41,10278,114,20
42,1028,2,1
43,1029,62,6
44,103,1,3
45,1030,17,3
46,10321,3,63
47,1033,163,81
48,10330,1,1
49,10336,1,1
50,10357,122,18
51,10378,5,1
52,10379,21,45
53,10396,48,7
54,10397,18,3
55,104,2,23
56,10408,114,237
57,1043,2,2
58,10447,14,3
59,1045,2,1
60,10456,31,2
61,10460,20,31
62,10465,4,2
63,10490,6,18
64,10495,155,64
65,1050,35,12
66,10507,1,4
67,1051,16,6
68,10519,2,2
69,10521,14,2
70,10568,40,12
71,10578,4,3
72,10588,76,31
73,106,5,43
74,1060,12,6
75,1062,3,2
76,10620,813,340
77,10624,3,1
78,1065,54,14
79,10681,2,6
80,107,3,1
81,10711,28,2
82,10719,138,15
83,1072,2,8
84,10721,342,267
85,10779,19,2
86,1079,7,4
87,10793,522,135
88,10798,17,16
89,1080,3,7
90,10800,206,225
91,10851,3,1
92,10863,9,6
93,1087,29,7
94,1088,155,9
95,10884,10,1
96,1089,40,4
97,109,5,3
98,10937,52,4
99,110,8,6
100,11001,1,5
101,11013,15,114
102,11061,3307,1125
103,11079,8,8
104,1108,3,4
105,1110,2,6
106,11111,254,193
107,11123,4,22
108,11135,4,22
109,1117,6,3
110,11179,26,1
111,1118,7,2
112,1119,1,2
113,1122,4,2
114,11241,2,3
115,11285,52,34
116,113,6,3
117,11319,37,4
118,1132,14,11
119,11341,6,4
120,1137,3,2
121,11371,1,5
122,1138,6,4
123,114,69,15
124,1140,2,2
125,1142,50,20
126,11433,81,9
127,1146,4,1
128,11499,57,19
129,1157,2,2
130,11577,49,14
131,11597,104,12
132,11617,474,10
133,1163,1,1
134,11633,26,11
135,1164,7,3
136,11665,80,54
137,117,2,1
138,11703,2,6
139,1172,2,8
140,11737,2,9
141,11739,18,9
142,11741,791,140
143,11751,40,8
144,11757,1379,306
145,11759,102,21
146,11761,10,4
147,11769,3,3
148,1177,13,7
149,11771,340,369
150,11785,39,5
151,11809,2,4
152,11827,10,2
153,11837,5,2
154,11843,366,130
155,1186,4,1
156,11867,6,3
157,11887,306,79
158,1189,3,1
159,1192,1,1
160,11933,38,1
161,1194,4,1
162,1195,287,47
163,11977,8,7
164,11979,16,6
165,11981,186,58
166,120,81,465
167,12021,1,6
168,12029,109,15
169,12031,48,7
170,12035,1,4
171,12049,2,7
172,1205,4,3
173,12053,3,1
174,12079,6,3
175,121,858,576
176,1210,1347,179
177,1211,11,2
178,12113,13,6
179,12115,46,9
180,12119,10,1
181,1212,17,15
182,12149,19,25
183,12175,10,2
184,12189,749,167
185,12191,15,7
186,122,26,103
187,1221,1,4
188,1222,28,60
189,1225,3,1
190,12291,83,30
191,123,32,168
192,12355,358,219
193,12365,160,25
194,12367,2,2
195,1239,2,9
196,12403,51,11
197,12413,96,24
198,12431,225,61
199,12445,156,28
200,12461,1,4
201,12467,72,6
202,12471,7,1
203,12477,41,14
204,1250,20,4
205,1251,44,3
206,12531,239,161
207,1254,84,32
208,12549,15,2
209,1261,3,2
210,1262,1,2
211,1264,3,2
212,12679,13,2
213,127,2,1
214,12711,1,25
215,12783,3,2
216,128,3,1
217,1280,3,2
218,1281,33,20
219,12815,19,46
220,1285,4,2
221,12859,14,3
222,12875,1,1
223,12883,37,73
224,129,7,39
225,1292,46,6
226,1293,62,22
227,12957,2,2
228,12967,1,6
229,12979,2,8
230,1299,10,4
231,130,2,6
232,1301,9,2
233,1303,9,3
234,131,2,2
235,13119,2,13
236,1312,4,1
237,13125,1046,386
238,1313,10,16
239,1316,2,2
240,13161,35,2
241,132,22,21
242,13203,19,6
243,13261,6,3
244,13271,6,1
245,13333,27,8
246,13335,1,11
247,13367,3,2
248,134,85,22
249,135,89,70
250,1351,1,1
251,13535,42,19
252,13585,5,14
253,136,245,130
254,13601,1139,566
255,13629,3,1
256,13655,103,19
257,13659,55,9
258,13663,74,1
259,13667,9,2
260,137,5,9
261,1371,2,4
262,1372,12,1
263,13759,903,104
264,1376,8,1
265,1382,12,4
266,1384,3,2
267,139,1,2
268,1391,10,4
269,1397,10,1
270,14075,228,65
271,14093,3,2
272,1412,55,7
273,14131,145,18
274,14199,15,2
275,142,2,14
276,14227,71,103
277,1425,13,2
278,14289,55,95
279,14293,1,2
280,143,12,24
281,1430,34,11
282,14345,91,28
283,14349,45,24
284,14397,85,33
285,144,9,4
286,14407,13,9
287,1441,12,3
288,14467,128,181
289,1448,4,1
290,145,122,67
291,1450,6,4
292,14513,133,121
293,14527,10,4
294,1453,147,17
295,1454,31,5
296,1457,7,8
297,1459,14,2
298,146,2,2
299,1462,32,5
300,147,61,21
301,1470,55,16
302,1471,10,5
303,14713,22,381
304,14719,713,151
305,14741,409,82
306,14749,27,4
307,14751,2,37
308,14753,1,1
309,14765,9,3
310,14811,20,5
311,14813,708,52
312,1482,198,363
313,14829,43,5
314,1483,12,4
315,14833,30,8
316,1484,2,1
317,1485,6,4
318,1486,10,63
319,149,5,37
320,1490,1,4
321,1491,38,9
322,14921,4,6
323,14941,18,11
324,14967,42,5
325,1498,6,13
326,15,43,32
327,150,136,255
328,15037,20,28
329,15039,12,3
330,15051,209,145
331,15061,27,34
332,15085,2,29
333,151,11,16
334,15109,4,9
335,15125,7,5
336,1517,2,1
337,1519,153,24
338,15197,6,4
339,15199,4,2
340,152,5,5
341,1520,22,15
342,15225,42,6
343,15227,44,21
344,1524,14,8
345,1526,5,3
346,153,121,87
347,1530,311,67
348,15315,113,26
349,1532,5,10
350,15335,53,29
351,1534,1,5
352,1535,3329,1520
353,1536,28,5
354,15379,22,28
355,1538,7,1
356,154,57,39
357,15417,44,16
358,15451,102,3
359,1546,11,5
360,15489,7,4
361,155,5,6
362,1556,1,1
363,15565,1,1
364,1557,3,21
365,15583,158,24
366,1559,123,10
367,156,9,26
368,15611,3,1
369,15613,4,19
370,1562,3,104
371,1563,2,8
372,1564,6,3
373,1565,11,1
374,1567,5,11
375,15689,27,6
376,1569,8,4
377,157,16,7
378,1571,41,176
379,1575,3054,829
380,15751,20,8
381,1576,2,3
382,1577,2,1
383,15771,3,11
384,15775,4,2
385,1579,5,61
386,15793,15,4
387,158,20,23
388,15809,305,65
389,15863,7,2
390,1588,4,2
391,1589,37,11
392,159,3,1
393,15911,27,6
394,15933,1,4
395,1594,23,25
396,16,283,140
397,160,118,33
398,16001,30,3
399,16005,9,21
400,16009,35,27
401,1601,9,4
402,16011,40,3
403,1602,12,2
404,16035,7,25
405,1604,291,316
406,16049,118,38
407,1606,15,7
408,16067,400,200
409,1607,3,2
410,16099,1,4
411,161,5,16
412,16123,7,1
413,1614,5,4
414,16157,33,9
415,16201,119,42
416,1629,5,3
417,16353,16,5
418,16355,9,3
419,1637,3,4
420,1639,36,6
421,164,681,185
422,16417,24,26
423,16419,7,4
424,1642,2,14
425,16498,1677,1039
426,165,91,17
427,1650,9,3
428,16512,9,4
429,16524,44,14
430,16528,3,10
431,1655,2,5
432,1657,9,6
433,16592,76,104
434,166,37,9
435,16608,1,2
436,16662,62,14
437,16664,75,25
438,16668,19,6
439,1668,8,7
440,167,34,14
441,16700,3,1
442,16706,102,9
443,16732,25,11
444,16742,127,69
445,16762,9,1
446,16774,57,12
447,1678,1,3
448,16782,214,66
449,168,37,9
450,1681,2,7
451,1683,2,1
452,1686,15,3
453,1688,3,2
454,1689,491,94
455,16890,4,11
456,16894,89,85
457,169,23,8
458,1690,79,26
459,16904,6,1
460,1691,70,37
461,16918,133,80
462,1695,15,12
463,1696,6,5
464,1698,274,230
465,16982,2,1
466,1699,12,69
467,17,6,3
468,170,186,53
469,1707,1,3
470,17074,999,112
471,17080,5,1
472,17082,11,2
473,1710,7,4
474,1719,1,3
475,1722,15,3
476,1723,9,1
477,17247,16,3
478,17249,4,7
479,1726,18,9
480,17265,366,49
481,17269,2,1
482,1728,1,8
483,1729,3,5
484,173,2,4
485,1731,3,1
486,1735,1201,562
487,17389,38,9
488,174,21,9
489,17513,7,30
490,17549,250,50
491,17641,3,3
492,17651,6,4
493,177,34,74
494,17729,105,3
495,17745,4,2
496,178,1,7
497,1787,1,3
498,17895,303,50
499,17909,83,32
500,17919,1,8
501,18,35,1
502,180,26,4
503,1800,4,2
504,18055,2,5
505,1807,3,1
506,18095,6,2
507,18097,2,1
508,18115,159,132
509,18119,35,10
510,18139,18,8
511,18153,166,150
512,1816,9,8
513,18179,47,52
514,1818,289,130
515,18195,129,22
516,182,84,92
517,18229,59,25
518,18245,256,26
519,1826,8,1
520,1827,134,90
521,18277,40,9
522,1829,2,6
523,18397,5,2
524,1840,34,3
525,18411,1,5
526,1842,16,6
527,1846,5,5
528,18465,4,2
529,18495,8,1
530,18497,13,5
531,185,228,11
532,18507,29,272
533,1852,51,10
534,1853,2,5
535,1860,2,5
536,18617,57,3
537,18619,1,1
538,18679,1115,297
539,18689,82,76
540,18857,22,2
541,1887,421,168
542,1889,334,126
543,18893,33,13
544,18897,281,18
545,189,67,7
546,19,1586,402
547,1901,4,5
548,19023,7,2
549,19067,1,2
550,191,4,2
551,19111,105,50
552,1915,18,7
553,19157,5,3
554,19163,19,4
555,1921,15,3
556,19221,56,5
557,19261,1,3
558,19285,2,1
559,19291,15,1
560,193,10,2
561,19319,26,1
562,1932,3,6
563,19363,21,14
564,19365,37,13
565,19369,28,4
566,19383,2,4
567,19391,2,2
568,1940,4,1
569,1942,1,1
570,19429,12,19
571,1943,87,49
572,1946,6,8
573,19489,7,2
574,195,56,17
575,196,6,2
576,1961,11,3
577,19647,20,2
578,1965,15,7
579,19653,5,3
580,19685,12,2
581,19703,107,35
582,1974,14,48
583,19759,6,12
584,19769,2,3
585,19775,48,17
586,198,36,20
587,19815,1174,227
588,19855,2,2
589,199,614,449
590,19919,4,1
591,19951,1,2
592,20,734,479
593,200,3,11
594,2001,3292,402
595,2002,41,1
596,20031,107,11
597,2004,13,6
598,20047,34,20
599,20057,196,57
600,20159,16,3
601,202,179,245
602,2025,665,254
603,2026,87,9
604,2029,4,1
605,2030,6,9
606,2034,122,298
607,2035,10,4
608,20359,5,3
609,2043,1,2
610,20431,33,45
611,2044,1,11
612,20449,5,2
613,20457,3,7
614,205,1087,341
615,20507,317,512
616,20541,36,16
617,20543,2,1
618,20583,593,798
619,20651,2,2
620,20689,15,18
621,207,38,4
622,20709,21,8
623,2076,12,6
624,20767,2,3
625,20785,282,55
626,20787,89,18
627,208,25,10
628,20853,17,6
629,20899,202,54
630,209,38,12
631,20973,10,5
632,21,2292,811
633,210,115,96
634,21039,18,2
635,2104,176,23
636,2108,3,3
637,21085,18,4
638,2109,2,2
639,21097,2,2
640,21105,10,36
641,2112,11,4
642,2113,2,2
643,2116,6,2
644,21177,2,3
645,21185,53,11
646,212,7,3
647,21273,80,12
648,2129,56,7
649,2130,14,5
650,2131,3,1
651,21327,50,11
652,21329,1,5
653,21339,11,5
654,21405,79,23
655,21407,1,1
656,21431,15,8
657,21437,1,1
658,2144,3,2
659,2148,2,1
660,2150,10,9
661,21507,4,3
662,21511,39,11
663,2152,7,2
664,2154,25,23
665,21557,34,46
666,2156,4,1
667,21561,4,2
668,21563,6,32
669,21573,10,2
670,2158,47,62
671,2159,36,96
672,21603,59,45
673,21639,13,8
674,2164,78,33
675,21647,68,20
676,2165,2,1
677,21667,2,2
678,2167,1012,280
679,21681,29,8
680,21743,6,24
681,218,48,2
682,2182,2,1
683,21843,65,48
684,21855,21,9
685,21863,9,1
686,21877,49,2
687,21881,122,27
688,21939,63,12
689,2199,6,4
